2016-09-30 15:13:52,615 p=21431 u=root |   [WARNING]: Host file not found: local

2016-09-30 15:13:52,619 p=21431 u=root |   [WARNING]: provided hosts list is empty, only localhost is available

2016-09-30 15:13:52,853 p=21431 u=root |  PLAY [local] *******************************************************************
2016-09-30 15:13:52,854 p=21431 u=root |  skipping: no hosts matched
2016-09-30 15:13:52,854 p=21431 u=root |  PLAY RECAP *********************************************************************
2016-09-30 15:14:06,918 p=21445 u=root |  PLAY [local] *******************************************************************
2016-09-30 15:14:07,013 p=21445 u=root |  TASK [setup] *******************************************************************
2016-09-30 15:14:07,802 p=21445 u=root |  ok: [localhost]
2016-09-30 15:14:07,811 p=21445 u=root |  TASK [Build image and with buildargs] ******************************************
2016-09-30 15:14:58,854 p=21445 u=root |  changed: [localhost]
2016-09-30 15:14:58,862 p=21445 u=root |  TASK [Build image and with buildargs] ******************************************
2016-09-30 15:15:14,377 p=21445 u=root |  changed: [localhost]
2016-09-30 15:15:14,387 p=21445 u=root |  TASK [Build image and with buildargs] ******************************************
2016-09-30 15:15:22,372 p=21445 u=root |  changed: [localhost]
2016-09-30 15:15:22,380 p=21445 u=root |  TASK [remove docker compose] ***************************************************
2016-09-30 15:15:22,856 p=21445 u=root |  changed: [localhost]
2016-09-30 15:15:22,864 p=21445 u=root |  PLAY RECAP *********************************************************************
2016-09-30 15:15:22,864 p=21445 u=root |  localhost                  : ok=5    changed=4    unreachable=0    failed=0   
2016-09-30 15:19:21,847 p=23851 u=root |  PLAY [local] *******************************************************************
2016-09-30 15:19:21,931 p=23851 u=root |  TASK [setup] *******************************************************************
2016-09-30 15:19:22,709 p=23851 u=root |  ok: [localhost]
2016-09-30 15:19:22,718 p=23851 u=root |  TASK [Build image and with buildargs] ******************************************
2016-09-30 15:19:59,355 p=23851 u=root |  changed: [localhost]
2016-09-30 15:19:59,364 p=23851 u=root |  TASK [Build image and with buildargs] ******************************************
2016-09-30 15:20:12,646 p=23851 u=root |  changed: [localhost]
2016-09-30 15:20:12,654 p=23851 u=root |  TASK [Build image and with buildargs] ******************************************
2016-09-30 15:20:20,555 p=23851 u=root |  changed: [localhost]
2016-09-30 15:20:20,563 p=23851 u=root |  TASK [remove docker compose] ***************************************************
2016-09-30 15:20:21,049 p=23851 u=root |  changed: [localhost]
2016-09-30 15:20:21,056 p=23851 u=root |  PLAY RECAP *********************************************************************
2016-09-30 15:20:21,057 p=23851 u=root |  localhost                  : ok=5    changed=4    unreachable=0    failed=0   
2016-09-30 15:25:04,091 p=26254 u=root |  PLAY [local] *******************************************************************
2016-09-30 15:25:04,180 p=26254 u=root |  TASK [setup] *******************************************************************
2016-09-30 15:25:04,826 p=26254 u=root |  ok: [localhost]
2016-09-30 15:25:04,836 p=26254 u=root |  TASK [Build image for gonginx] *************************************************
2016-09-30 15:25:51,588 p=26254 u=root |  changed: [localhost]
2016-09-30 15:25:51,597 p=26254 u=root |  TASK [Build image for gobuild] *************************************************
2016-09-30 15:26:05,007 p=26254 u=root |  changed: [localhost]
2016-09-30 15:26:05,016 p=26254 u=root |  TASK [Build image for godeploy] ************************************************
2016-09-30 15:26:05,332 p=26254 u=root |  fatal: [localhost]: FAILED! => {"changed": true, "cmd": "cd /opt/gitrepo/goapp/deploy/ && docker build -t godeploy .", "delta": "0:00:00.088400", "end": "2016-09-30 15:26:05.304904", "failed": true, "rc": 1, "start": "2016-09-30 15:26:05.216504", "stderr": "lstat helloapp: no such file or directory", "stdout": "Sending build context to Docker daemon 2.048 kB\r\r\nStep 1 : FROM golang\n ---> 12231e6a3e14\nStep 2 : ADD helloapp /go/bin/helloapp", "stdout_lines": ["Sending build context to Docker daemon 2.048 kB", "", "Step 1 : FROM golang", " ---> 12231e6a3e14", "Step 2 : ADD helloapp /go/bin/helloapp"], "warnings": []}
2016-09-30 15:26:05,338 p=26254 u=root |  NO MORE HOSTS LEFT *************************************************************
2016-09-30 15:26:05,340 p=26254 u=root |   [WARNING]: Could not create retry file 'build.retry'.         [Errno 2] No such file or directory: ''

2016-09-30 15:26:05,340 p=26254 u=root |  PLAY RECAP *********************************************************************
